ID,Tamanho_bp,Descrição,Conteudo_GC
A36594.1.0.undefined.-.23,23,A36594.1.0.undefined.-.23,60.87
A36595.1.1.undefined.-.23,23,A36595.1.1.undefined.-.23,65.22
A36598.1.2.undefined.-.23,23,A36598.1.2.undefined.-.23,30.43
A36599.1.3.undefined.-.23,23,A36599.1.3.undefined.-.23,43.48
A36602.1.4.undefined.-.23,23,A36602.1.4.undefined.-.23,47.83
A36603.1.5.undefined.-.23,23,A36603.1.5.undefined.-.23,43.48
A36606.1.6.undefined.-.23,23,A36606.1.6.undefined.-.23,47.83
A36607.1.7.undefined.-.23,23,A36607.1.7.undefined.-.23,43.48
A36610.1.8.undefined.-.21,21,A36610.1.8.undefined.-.21,66.67
A36611.1.9.undefined.-.20,20,A36611.1.9.undefined.-.20,55.0
A36614.1.10.undefined.-.23,23,A36614.1.10.undefined.-.23,43.48
A36615.1.11.undefined.-.30,30,A36615.1.11.undefined.-.30,63.33
AB001979.1.12.undefined.-.443,443,AB001979.1.12.undefined.-.443,62.3
AB001980.1.13.undefined.-.443,443,AB001980.1.13.undefined.-.443,62.3
AB002532.1.14.undefined.-.443,443,AB002532.1.14.undefined.-.443,62.3
AB005591.1.15.undefined.KM480.412,412,AB005591.1.15.undefined.KM480.412,58.25
AB005592.1.16.undefined.KM579.413,413,AB005592.1.16.undefined.KM579.413,58.11
AB005593.1.17.undefined.KM1657.413,413,AB005593.1.17.undefined.KM1657.413,57.87
AB005594.1.18.undefined.CD9618.413,413,AB005594.1.18.undefined.CD9618.413,58.11
AB005595.1.19.undefined.CD9622.413,413,AB005595.1.19.undefined.CD9622.413,58.35
AB005596.1.20.undefined.CD9626.414,414,AB005596.1.20.undefined.CD9626.414,57.97
AB005597.1.21.undefined.PL107.413,413,AB005597.1.21.undefined.PL107.413,58.11
AB005598.1.22.undefined.PL615.413,413,AB005598.1.22.undefined.PL615.413,58.35
AB005599.1.23.undefined.PZ9603.414,414,AB005599.1.23.undefined.PZ9603.414,57.97
AB005600.1.24.undefined.PZ9604.413,413,AB005600.1.24.undefined.PZ9604.413,58.35
AB005601.1.25.undefined.PZ9605.413,413,AB005601.1.25.undefined.PZ9605.413,57.87
AB005602.1.26.undefined.PZ9612.413,413,AB005602.1.26.undefined.PZ9612.413,57.87
AB030742.1.27.undefined.KAG130L1.157,157,AB030742.1.27.undefined.KAG130L1.157,52.23
AB030743.1.28.undefined.KAG130.506,506,AB030743.1.28.undefined.KAG130.506,58.1
AB030744.1.29.undefined.CHI383.507,507,AB030744.1.29.undefined.CHI383.507,59.17
AB030745.1.30.undefined.CHI430.507,507,AB030745.1.30.undefined.CHI430.507,58.38
AB036346.1.31.undefined.-.1080,1080,AB036346.1.31.undefined.-.1080,53.43
AB036347.1.32.undefined.-.1079,1079,AB036347.1.32.undefined.-.1079,53.48
AB036348.1.33.undefined.HC1020A.601,601,AB036348.1.33.undefined.HC1020A.601,59.73
AB036349.1.34.undefined.HAM284A.601,601,AB036349.1.34.undefined.HAM284A.601,59.57
AB036350.1.35.undefined.HC57A.601,601,AB036350.1.35.undefined.HC57A.601,59.57
AB036351.1.36.undefined.HC66A.601,601,AB036351.1.36.undefined.HC66A.601,59.4
AB036352.1.37.undefined.HC33B.603,603,AB036352.1.37.undefined.HC33B.603,59.37
